problem_id,domain,num_agents,total_time_ms,total_plan_length,total_nodes_expanded,total_heuristic_calls,total_applicable_actions,total_nodes_generated,total_objects,translator_variables,translator_derived_variables,translator_facts,translator_goal_facts,translator_operators,translator_axioms,translator_task_size,avg_time_per_agent,avg_plan_length_per_agent,avg_nodes_expanded_per_agent,avg_heuristic_calls_per_agent,avg_applicable_actions_per_agent,avg_nodes_generated_per_agent
019824b2-0ae7-4a8f-8c36-d7dd3e84b7d0_2a_10l,multi_agent_movement,2,0.0488,4,4,4,4,4,10,10,0,29,2,18,0,47,.02440000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
02368ff4-1c74-476e-a1f8-67485cc62dda_3a_3l,multi_agent_movement,3,0.046000000000000006,3,3,3,3,3,3,3,0,11,3,6,0,17,.01533333333333333533,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
0358b2c6-3da5-4f95-95b8-97439ce8df60_6a_12l,multi_agent_movement,6,0.237,12,12,12,12,12,12,12,0,83,6,66,0,149,.03950000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
03725a8a-e742-4ad7-a9b5-217a9a8149cd_4a_5l,multi_agent_movement,4,0.1069,7,7,7,7,7,5,5,0,24,4,16,0,40,.02672500000000000000,1.75000000000000000000,1.75000000000000000000,1.75000000000000000000,1.75000000000000000000,1.75000000000000000000
093e6fb0-483e-4d1e-a669-0daef1fa7e0c_6a_19l,multi_agent_movement,6,0.30599999999999994,12,12,12,12,12,19,19,0,132,6,108,0,240,.05099999999999999000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
0b536f37-e271-47d9-8cf2-167a2ee3c643_4a_10l,multi_agent_movement,4,0.164,8,8,8,8,8,10,10,0,49,4,36,0,85,.04100000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
0c05e81d-df9a-4b25-9546-be8942066147_1a_8l,multi_agent_movement,1,0.0153,2,2,2,2,2,8,8,0,15,1,7,0,22,.01530000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
0c7d7933-e047-4440-afa6-1b9fe918f135_6a_7l,multi_agent_movement,6,0.21710000000000002,11,11,11,11,11,7,7,0,48,6,36,0,84,.03618333333333333666,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333
0f32987f-4157-48eb-82b5-687b6125ec28_2a_4l,multi_agent_movement,2,0.0351,4,4,4,4,4,4,4,0,11,2,6,0,17,.01755000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
1589461e-45ef-4de0-81b3-5da694ce1341_2a_16l,multi_agent_movement,2,0.0529,4,4,4,4,4,16,16,0,47,2,30,0,77,.02645000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
