2024-10-17 11:23:56,792 INFO     using search: weighted_astar_search
2024-10-17 11:23:56,793 INFO     using heuristic: LmCutHeuristic
2024-10-17 11:23:56,793 INFO     Parsing Domain /home/rpgsbs/r01sa23/Documents/pyperplan/benchmarks/movie/domain.pddl
2024-10-17 11:23:56,793 INFO     Parsing Problem /home/rpgsbs/r01sa23/Documents/pyperplan/benchmarks/movie/task02.pddl
2024-10-17 11:23:56,793 DEBUG    < Domain definition: movie-strips Predicates: ['movie-rewound', 'counter-at-two-hours', 'counter-at-other-than-two-hours', 'counter-at-zero', 'have-chips', 'have-dip', 'have-pop', 'have-cheese', 'have-crackers', 'chips', 'dip', 'pop', 'cheese', 'crackers'] Actions: ['rewind-movie-2', 'rewind-movie', 'reset-counter', 'get-chips', 'get-dip', 'get-pop', 'get-cheese', 'get-crackers'] Constants: [] >
2024-10-17 11:23:56,793 INFO     14 Predicates parsed
2024-10-17 11:23:56,793 INFO     8 Actions parsed
2024-10-17 11:23:56,793 INFO     30 Objects parsed
2024-10-17 11:23:56,793 INFO     0 Constants parsed
2024-10-17 11:23:56,793 INFO     Grounding start: strips-movie-x-2
2024-10-17 11:23:56,793 DEBUG    Grounding rewind-movie-2
2024-10-17 11:23:56,793 DEBUG    Grounding rewind-movie
2024-10-17 11:23:56,793 DEBUG    Grounding reset-counter
2024-10-17 11:23:56,793 DEBUG    Grounding get-chips
2024-10-17 11:23:56,794 DEBUG    Grounding get-dip
2024-10-17 11:23:56,795 DEBUG    Grounding get-pop
2024-10-17 11:23:56,795 DEBUG    Grounding get-cheese
2024-10-17 11:23:56,796 DEBUG    Grounding get-crackers
2024-10-17 11:23:56,797 INFO     Relevance analysis removed 0 facts
2024-10-17 11:23:56,797 INFO     Grounding end: strips-movie-x-2
2024-10-17 11:23:56,797 INFO     7 Variables created
2024-10-17 11:23:56,797 INFO     32 Operators created
2024-10-17 11:23:56,797 INFO     Search start: strips-movie-x-2
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-dip d6), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-dip)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-dip d1), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-dip)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-dip d3), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-dip)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-dip d5), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-dip)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-dip d2), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-dip)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-dip d4), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-dip)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-cheese z4), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-cheese)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-cheese z2), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-cheese)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-cheese z3), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-cheese)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-cheese z6), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-cheese)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-cheese z1), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-cheese)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-cheese z5), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-cheese)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-pop p2), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-pop)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-pop p1), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-pop)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-pop p4), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-pop)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-pop p5), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-pop)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-pop p6), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-pop)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-pop p3), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-pop)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-crackers k4), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-crackers)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-crackers k3), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-crackers)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-crackers k5), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-crackers)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-crackers k1), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-crackers)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-crackers k2), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-crackers)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-crackers k6), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-crackers)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (rewind-movie), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(movie-rewound)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-chips c2), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-chips)'], cost: 0 >
2024-10-17 11:23:56,797 DEBUG    < OPERATOR name: (get-chips c3), hmax_supp: ALWAYSTRUE, precond: ['ALWAYSTRUE'], effects: ['(have-chips)'], cost: 0 >
